"Timestamp","Which age group do you belong to?","What is your profession?","Who is your favourate political leader in India?","Do you think Narendra Modi has the ability to transform India?","How much time do you give to your mobile phone in one day?","What would you like to do in your free time?","What would you do to enhance your knowledge?","Which type of music do you love to listen?","Which type of marriage is best?","Which social networking plateform do you love to use the most?","Which online shopping site do you like to prefer?","How much time you give to your parents in a day?","What would you like to do to remain fit and healthy?","Which shampoo brand would you like to use?","Which toothpaste brand would you like to use?"
"2018/12/10 9:10:13 am GMT+5:30","21-30 year","Service","Narendra Modi","Yes","1-3 hours","Watch Movies","Watch documentaries / Educational videos","Romantic","Love Marriage","Facebook","Amazon","less than 1 hour","Yoga","Dove","Dant Kanti"
"2018/12/10 10:34:32 am GMT+5:30","11-20 year","Student","Narendra Modi","Yes","3-5 hours","Hangout with friends","Read Books","Romantic","Remain Single forever","Instagram","Amazon","4-5 hours","Jym","TRESemme","Colgate"
"2018/12/10 10:49:47 am GMT+5:30","41-50 year","Service","Narendra Modi","Yes","5-7 hours","Read something new","Do Courses","Romantic","Arrange Marriage","Watsapp","Snapdeal","greater than 5 hours","Normal Excercises","LOreal","Colgate"
"2018/12/10 10:51:36 am GMT+5:30","11-20 year","Service","Arun Jaitley","No","3-5 hours","Hangout with friends","Do Courses","Every type of song which creates some feelings inner me.. ","Arrange Marriage","Instagram","Amazon","greater than 5 hours","Nothing ","Sunsilk","Colgate"
"2018/12/10 11:01:19 am GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Watch Movies","Do Courses","Romantic","Arrange Marriage","Instagram","Myntra","4-5 hours","Stay fit","Wowshampoo","Colgate"
"2018/12/10 11:37:39 am GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Watch Movies","Do Courses","Romantic","Love Marriage","Instagram","Paytm Mall","less than 1 hour","Jym","Sunsilk","Colgate"
"2018/12/10 11:39:02 am GMT+5:30","11-20 year","Student","Narendra Modi","Yes","3-5 hours","Read something new","Read Books","Classic","Love Marriage","Facebook","Amazon","greater than 5 hours","Normal Excercises","Dove","Colgate"
"2018/12/10 11:41:49 am GMT+5:30","11-20 year","Student","Narendra Modi","No","1-3 hours","Sleeping ","Sleeping ","Romantic","Remain Single forever","Instagram","Amazon","greater than 5 hours","Yoga","Sunsilk","Close-Up"
"2018/12/10 11:45:45 am GMT+5:30","11-20 year","Student","Narendra Modi","Yes","greater than 7 hours","Hangout with friends","Do Courses","Romantic","Love Marriage","Watsapp","Flipkart","1-2 hours","Normal Excercises","Sunsilk","Dant Kanti"
"2018/12/10 11:47:26 am GMT+5:30","11-20 year","Student","Narendra Modi","Yes","greater than 7 hours","Hangout with friends","Read Books","","Love Marriage","Instagram","Flipkart","less than 1 hour","Nothing","Head & Shoulders","Colgate"
"2018/12/10 11:55:27 am GMT+5:30","11-20 year","Student","Narendra Modi","Yes","greater than 7 hours","Hangout with friends","Read Newspapers","Romantic","Arrange Marriage","Wattpad","Amazon","2-3 hours","Normal Excercises","TRESemme","Close-Up"
"2018/12/10 11:56:22 am GMT+5:30","11-20 year","Student","Narendra Modi","Yes","5-7 hours","Hangout with friends","Do Courses","Romantic","Love Marriage","Instagram","Flipkart","4-5 hours","Normal Excercises","Head & Shoulders","Colgate"
"2018/12/10 12:08:56 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","3-5 hours","Hangout with friends","Watch documentaries / Educational videos","Romantic","Love Marriage","Watsapp","Flipkart","less than 1 hour","Normal Excercises","Head & Shoulders","Dant Kanti"
"2018/12/10 12:13:00 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","3-5 hours","Hangout with friends","Watch documentaries / Educational videos","Romantic","Arrange Marriage","Instagram","Myntra","4-5 hours","Normal Excercises","Dove","Dant Kanti"
"2018/12/10 12:16:39 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Hangout with friends","Read Books","Romantic","Remain Single forever","Instagram","Myntra","less than 1 hour","Normal Excercises","TRESemme","Dant Kanti"
"2018/12/10 12:36:19 pm GMT+5:30","21-30 year","give teutions","Narendra Modi","Yes","greater than 7 hours","listning songs","Read Articles","Romantic","Love Marriage","Instagram","Flipkart","greater than 5 hours","Yoga","Dove","Colgate"
"2018/12/10 12:40:23 pm GMT+5:30","21-30 year","Business","Narendra Modi","Yes","3-5 hours","Hangout with friends","Read Newspapers","Romantic","Love Marriage","Instagram","Paytm Mall","1-2 hours","Jym","Head & Shoulders","Dant Kanti"
"2018/12/10 12:42:48 pm GMT+5:30","21-30 year","Business","Narendra Modi","Yes","3-5 hours","Hangout with friends","Read Newspapers","Romantic","Love Marriage","Instagram","Paytm Mall","1-2 hours","Jym","Head & Shoulders","Dant Kanti"
"2018/12/10 1:10:25 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Read something new","Watch documentaries / Educational videos","Romantic","Love Marriage","Watsapp","Amazon","2-3 hours","Normal Excercises","Dove","Dant Kanti"
"2018/12/10 1:22:16 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Play Outdoor Games","Watch documentaries / Educational videos","Romantic","Love Marriage","Instagram","Amazon","greater than 5 hours","Normal Excercises","Clinic plus","Colgate"
"2018/12/10 1:47:34 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Watch Movies","Do Courses","Romantic","Love Marriage","Watsapp","Flipkart","3-4 hours","Jym","TRESemme","Dant Kanti"
"2018/12/10 1:56:49 pm GMT+5:30","41-50 year","Housewife","Narendra Modi","Yes","less than 1hour","Hangout with friends","Read Newspapers","Classic","Arrange Marriage","Watsapp","Amazon","greater than 5 hours","Normal Excercises","Kesh Kanti","Colgate"
"2018/12/10 2:16:03 pm GMT+5:30","11-20 year","Student","No one","Yes","3-5 hours","Read Books","Read Books","Rock","Remain Single forever","Watsapp","Flipkart","less than 1 hour","Normal Excercises","Kesh Kanti","Dant Kanti"
"2018/12/10 2:22:01 pm GMT+5:30","11-20 year","Student","Sushma Swaraj","Yes","3-5 hours","Watch Movies","Through insta news account","Romantic","Arrange Marriage","Instagram","Amazon","2-3 hours","Dieting","Biotique","Dant Kanti"
